gene,pVal
"RANBP6",0.0118628982156569
"RBBP7",0.0118778141124225
"PGAM1",0.0119678984897373
"SLC25A51",0.0119679296758919
"VPS13B",0.0120578348711857
"NOP14",0.0120578348711857
"HSPA8",0.012107039293969
"NPTN",0.012130406756296
"AC009501.4",0.0122073025417604
"GEM",0.0122371884607357
"PSMD12",0.0122521284930502
"SNRPD2",0.0123045068346486
"CEP68",0.0123833685689714
"TUBGCP4",0.0123833685689714
"AP006222.2",0.0123975016084483
"C5orf24",0.0125142842554029
"PHF21A",0.0125358398423634
"MEAF6",0.0125436402010083
"EPS8",0.0128264115223663
"PPP1R2",0.0129516958674669
"ARG2",0.0129847104524903
"CCDC124",0.012992147020067
"ATP6V1D",0.0129950802595289
"SZT2",0.013057872260155
"KLHL5",0.0130792950967843
"NDFIP1",0.0131261352680072
"TGM2",0.0132398421685146
"PRDX2",0.0133097268748879
"APBB1IP",0.0134351731776541
"MAGOHB",0.0134508993329746
"CBLB",0.0134873237699102
"POLR3D",0.0135138775155255
"EFR3A",0.0135747950313281
"IFITM2",0.0136023901155818
"C2orf47",0.013644574543141
"XYLT2",0.0137353856072785
"IMMP1L",0.0137646671348117
"RPS27",0.0137862022523132
"RAC1",0.0138102100764215
"CCDC53",0.0138190148915267
"MRPL9",0.0139133070250202
"PWP1",0.0141219550074491
"MVB12A",0.0141794856760121
"ZNF529",0.0141869177709066
"UBC",0.014200297567291
"HSPD1",0.0142809725448856
"CUTC",0.014338146011938
"GGNBP2",0.0144525328171472
"AASDH",0.0145497918422647
"NMT2",0.0145835145697918
"HSPA1B",0.0147313115917087
"SETD6",0.0147697858769562
"CNBP",0.0150254235404715
"CXADR",0.0150935226340024
"SPRYD7",0.015204803071201
"TUBB6",0.0152174373921131
"ZMYM5",0.0152190932616406
"CDK11B",0.0152190932616406
"GNB2L1",0.0152288082859479
"NDUFA11",0.0153031337178509
"PSMD4",0.0153200328066087
"AIFM1",0.0153209021550113
"NOLC1",0.015479244194848
"OBFC1",0.0155464186748679
"CERS6",0.0155627798637158
"SMCO4",0.0155862699798338
"C7orf50",0.0156422208797514
"BFSP1",0.0156879777922407
"RGS10",0.0156879777922407
"BCOR",0.0157111601562863
"FEN1",0.0157111601562863
"AHCYL2",0.0157111601562863
"CENPBD1",0.0158257798134017
"C11orf74",0.0158565545551629
"SLC9B2",0.0159088582222631
"MRPL12",0.0160999138697716
"MGST3",0.0161092441336017
"RPF2",0.0161866974379851
"ARHGAP24",0.0162013426700491
"CHST7",0.0162013426700491
"KIAA0930",0.0162256024052493
"DPYS",0.0162903896608801
"S100A6",0.0164411133637525
"MRPL33",0.0165145382688202
"CCNH",0.0165658549142396
"ZNF420",0.0167049153490401
"SLC7A6OS",0.0167049153490401
"ZNF134",0.0167049153490401
"POLG2",0.0167049153490401
"COMMD3",0.0167371474815277
"C12orf45",0.0168371388570467
"ST6GAL1",0.0168830441172238
"PYGL",0.0169037655607503
"GOLT1B",0.0169675357305616
